source,pt_PT
Shift Requests ending before this date will be excluded.,Solicitações de turno que terminem antes desta data serão excluídas.
Shift Requests starting after this date will be excluded.,Solicitações de turno iniciadas após esta data serão excluídas.
Shift Schedule,Horário de turnos
Shift Schedule Assignment,Atribuição de horário de turno
Shift Settings,Configurações de turno
Shift Start,Início do turno
Shift Start Time,Hora de início do turno
Shift Status,Status do turno
Shift Timings,Horários dos turnos
Shift Tools,Ferramentas de mudança
Shift Type,Tipo de turno
Shift and Attendance,Turno e Presença
Shift assignments for {0} after {1} are already created. Please change {2} date to a date later than {3} {4},As atribuições de turno para {0} após {1} já foram criadas. Altere a data de {2} para uma data posterior a {3} {4}
Shift has been successfully updated to {0}.,O turno foi atualizado com sucesso para {0}.
Shortlist,Lista
Shortlisted,Selecionado
Show Employee,Mostrar funcionário
Show Leave Balances in Salary Slip,Mostrar saldos de licenças no comprovante de salário
Show Leaves Of All Department Members In Calendar,Mostrar licenças de todos os membros do departamento no calendário
Show Salary Slip,Mostrar comprovante de salário
Showing,Mostrando
Sick Leave,Licença médica
Single Assignment,Tarefa Única
Skill,Habilidade
Skill Assessment,Avaliação de habilidades
Skill Name,Nome da habilidade
Skills,Habilidades
Skip Auto Attendance,Pular atendimento automático
"Skipping Salary Structure Assignment for the following employees, as Salary Structure Assignment records already exists against them. {0}","Ignorando atribuição de estrutura salarial para os funcionários a seguir, pois já existem registros de atribuição de estrutura salarial para eles. {0}"
Source,Fonte
Source Name,Nome da fonte
Source and target shifts cannot be the same,As mudanças de origem e de destino não podem ser as mesmas
Sponsored Amount,Valor patrocinado
Staffing Details,Detalhes de pessoal
Staffing Plan,Plano de Pessoal
Staffing Plan Detail,Detalhe do plano de pessoal
Staffing Plan {0} already exist for designation {1},O plano de pessoal {0} já existe para designação {1}
Standard Multiplier,Multiplicador Padrão
Standard Tax Exemption Amount,Valor padrão de isenção de imposto
Standard Working Hours,Horário de trabalho padrão
Start,Começar
Start Date,Data de início
Start Time,Hora de início
"Start and end dates not in a valid Payroll Period, cannot calculate {0}.",As datas de início e término não estão em um período da folha de pagamento válido e não podem calcular {0}.
Start date cannot be greater than end date,A data de início não pode ser posterior à data de término
Start date cannot be greater than end date.,A data de início não pode ser posterior à data de término.
Start date: {0},Data de início: {0}
Start time and end time cannot be same.,A hora de início e a hora de término não podem ser iguais.
Statistical Component,Componente Estatística
Status,Status
Status for Other Half,Status para a outra metade
Stock Options,Opções de ações
Stop users from making Leave Applications on following days.,Impedir que os usuários façam solicitações de licença nos dias seguintes.
Strictly based on Log Type in Employee Checkin,Estritamente baseado no tipo de registro no check-in do funcionário
Structures have been assigned successfully,As estruturas foram atribuídas com sucesso
Subject,Assunto
Submission Date,Data de envio
Submission Failed,Falha no envio
Submission of {0} before {1} is not allowed,O envio de {0} antes de {1} não é permitido
Submit,Enviar
Submit Feedback,Enviar comentários
Submit Now,Enviar agora
Submit Overtime Slips,Enviar comprovantes de horas extras
Submit Proof,Enviar prova
Submit Salary Slip,Enviar comprovante de salário
Submit this Leave Application to confirm.,Envie este pedido de licença para confirmar.
Submit this to create the Employee record,Envie isso para criar o registro do funcionário
Submitted,Enviado
Submitted via Payroll Entry,Enviado via entrada de folha de pagamento
Submitting Salary Slips and creating Journal Entry...,Envio de comprovantes de salário e criação de lançamento contábil manual...
Submitting Salary Slips...,Enviando comprovantes de salário...
Subsidiary companies have already planned for {1} vacancies at a budget of {2}. Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies,As empresas subsidiárias já planejaram {1} vagas com um orçamento de {2}. O Plano de Pessoal para {0} deve alocar mais vagas e orçamento para {3} do que o planejado para suas subsidiárias
Success,Sucesso
Successfully created {0} for employees:,{0} criado com sucesso para funcionários:
Successfully {0} {1} for the following employees:,Com êxito {0} {1} para os seguintes funcionários:
Sum of all previous slabs,Soma de todas as lajes anteriores
Sum of benefit amounts {0} exceeds maximum limit of {1},A soma dos valores dos benefícios {0} excede o limite máximo de {1}
Summarized View,Visualização resumida
Suspended,Suspenso
Sync {0},Sincronizar {0}
Syntax error,Erro de sintaxe
Syntax error in condition: {0} in Income Tax Slab,Erro de sintaxe na condição: {0} na Laje do Imposto de Renda
System Health,Saúde do sistema
System Manager,Gerente do Sistema
Take Exact Completed Years,Pegue os anos completos exatos
Task,Tarefa
Task Weight,Peso da tarefa
Tax Deducted Till Date,Imposto deduzido até a data
Tax Exemption Category,Categoria de isenção fiscal
Tax Exemption Declaration,Declaração de isenção fiscal
Tax Exemption Proofs,Provas de isenção fiscal
Tax on additional salary,Imposto sobre salário adicional
Tax on flexible benefit,Imposto sobre benefício flexível
Taxable Earnings Till Date,Lucro tributável até a data
Taxable Income Relief Threshold Limit,Limite de Alívio de Renda Tributável
Taxable Salary Slab,Placa Salarial Tributável
Taxable Salary Slabs,Placas Salariais Tributáveis
Taxes & Charges,Impostos e Taxas
Taxes and Charges on Income Tax,Impostos e Taxas sobre Imposto de Renda
Taxi,Táxi
Team Updates,Atualizações da equipe
Template Name,Nome do modelo
Template Title,Título do modelo
Tenure,Posse
Terms,Termos
Thank you,Obrigado
The currency of {0} should be same as the company's default currency. Please select another account.,A moeda de {0} deve ser igual à moeda padrão da empresa. Selecione outra conta.
The date on which Salary Component with Amount will contribute for Earnings/Deduction in Salary Slip. ,Data em que o Componente Salarial com Valor contribuirá para Remuneração/Desconto no Comprovante de Salário.
The day of the month when leaves should be allocated,O dia do mês em que as licenças devem ser alocadas
The day(s) on which you are applying for leave are holidays. You need not apply for leave.,O(s) dia(s) em que você está solicitando licença são feriados. Você não precisa solicitar licença.
The days between {0} to {1} are not valid holidays.,Os dias entre {0} e {1} não são feriados válidos.
The first Approver in the list will be set as the default Approver.,O primeiro aprovador da lista será definido como o aprovador padrão.
The fraction of Daily Salary per Leave should be between 0 and 1,A fração do Salário Diário por Licença deve estar entre 0 e 1
The fraction of daily wages to be paid for half-day attendance,A fração do salário diário a ser paga pela frequência de meio dia
The metrics for this report are calculated based on the {0}. Please set {0} in {1}.,As métricas deste relatório são calculadas com base em {0}. Defina {0} em {1}.
The metrics for this report are calculated based on {0}. Please set {0} in {1}.,As métricas deste relatório são calculadas com base em {0}. Defina {0} em {1}.
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","O comprovante de salário enviado por e-mail ao funcionário será protegido por senha, a senha será gerada com base na política de senhas."
The time after the shift start time when check-in is considered as late (in minutes).,O tempo após o horário de início do turno em que o check-in é considerado atrasado (em minutos).
The time before the shift end time when check-out is considered as early (in minutes).,O tempo antes do horário de término do turno quando o check-out é considerado antecipado (em minutos).
The time before the shift start time during which Employee Check-in is considered for attendance.,O horário anterior ao horário de início do turno durante o qual o Check-in do Funcionário é considerado para atendimento.
Theory,Teoria
There are more holidays than working days this month.,Há mais feriados do que dias úteis este mês.
There are multiple shifts assigned to the employee for the same period. Please mention the shift,Existem vários turnos atribuídos ao funcionário para o mesmo período. Por favor mencione a mudança
There are no arrear differences between existing and new salary structure components.,Não existem diferenças de atraso entre os componentes da estrutura salarial existentes e os novos.
There are no vacancies under staffing plan {0},Não há vagas no plano de pessoal {0}
There is no Salary Structure assigned to {0}. First assign a Salary Structure.,Não há estrutura salarial atribuída a {0}. Primeiro atribua uma estrutura salarial.
There's no Employee with Salary Structure: {0}. Assign {1} to an Employee to preview Salary Slip,Não há Funcionário com Estrutura Salarial: {0}. Atribuir {1} a um funcionário para visualizar o comprovante de salário
"These leaves are holidays permitted by the company however, availing it is optional for an Employee.","Essas licenças são feriados permitidos pela empresa, porém seu aproveitamento é opcional para o Colaborador."
This action will prevent making changes to the linked appraisal feedback/goals.,Esta ação impedirá alterações nos comentários/metas da avaliação vinculada.
"This check-in is outside assigned shift hours and will not be considered for attendance. If a shift is assigned, adjust its time window and Fetch Shift again.","Este check-in ocorre fora do horário de turno designado e não será considerado para comparecimento. Se um turno for atribuído, ajuste sua janela de tempo e busque o turno novamente."
This compensatory leave will be applicable from {0}.,Esta licença compensatória será aplicável a partir de {0}.
This employee already has a log with the same timestamp.{0},Este funcionário já tem um registro com o mesmo carimbo de data/hora.{0}
This error can be due to invalid formula or condition.,Este erro pode ser devido a uma fórmula ou condição inválida.
This error can be due to invalid syntax.,Este erro pode ser devido a uma sintaxe inválida.
This error can be due to missing or deleted field.,Este erro pode ser devido a um campo ausente ou excluído.
This field allows you to set the maximum number of consecutive leaves an Employee can apply for.,Este campo permite definir o número máximo de licenças consecutivas a que um Colaborador pode candidatar-se.
This field allows you to set the maximum number of leaves that can be allocated annually for this Leave Type while creating the Leave Policy,Este campo permite definir o número máximo de licenças que podem ser alocadas anualmente para este tipo de licença durante a criação da política de licenças
This is based on the attendance of this Employee,Isto é baseado na presença deste Funcionário
This method is only meant for developer mode,Este método destina-se apenas ao modo de desenvolvedor
This will overwrite the tax component {0} in the salary slip and tax won't be calculated based on the Income Tax Slabs,Isso substituirá o componente fiscal {0} no comprovante de salário e o imposto não será calculado com base nas Placas de Imposto de Renda
This will submit Salary Slips and create accrual Journal Entry. Do you want to proceed?,Isso enviará comprovantes de salário e criará um lançamento contábil manual de acumulação. Você quer prosseguir?
Thursday,Quinta-feira
Time,Tempo
Time Interval,Intervalo de tempo
Time Sheet,Folha de ponto
Time after the end of shift during which check-out is considered for attendance.,Tempo após o final do turno durante o qual o check-out é considerado para atendimento.
Time taken to fill the open positions,Tempo necessário para preencher as vagas abertas
Time to Fill,Hora de preencher
Timelines,Cronogramas
Timesheet Details,Detalhes do quadro de horários
Timing,Tempo
Title,Título
To,Para
To Amount,Montar
To Date,A data
To Date should be greater than From Date,Até a data deve ser maior que a data inicial
"To allow this, enable {0} under {1}.","Para permitir isso, ative {0} em {1}."
To apply for a Half Day check 'Half Day' and select the Half Day Date,"Para se inscrever para meio dia, marque 'Meio dia' e selecione a data de meio dia"
To date can not be equal or less than from date,Até a data não pode ser igual ou inferior à data
To date can not be greater than employee's relieving date.,A data não pode ser superior à data de demissão do funcionário.
To date can not be less than from date,Até a data não pode ser inferior à data
To date can not greater than employee's relieving date,Até o momento não pode ser superior à data de demissão do funcionário
To date cannot be before from date,Até a data não pode ser anterior à data
"To overwrite the salary component amount for a tax component, please enable {0}","Para substituir o valor do componente salarial por um componente fiscal, ative {0}"
To(Year),Para (ano)
To(Year) year can not be less than From(year),Até(Ano) o ano não pode ser inferior a De(ano)
Today is {0}'s birthday ðŸŽ‰,Hoje é o aniversário de {0} ðŸŽ‰
Today {0} at our Company! ðŸŽ‰,Hoje {0} na nossa Empresa! ðŸŽ‰
Today {0} completed {1} {2} at our Company! ðŸŽ‰,Hoje {0} completou {1} {2} em nossa Empresa! ðŸŽ‰
Total,Total
Total (Company Currency),Total (moeda da empresa)
Total Absent,Total Ausente
Total Accrued,Total acumulado
Total Actual Amount,Valor real total
Total Advance Amount,Valor total do adiantamento
Total Advance Amount (Company Currency),Valor total do adiantamento (moeda da empresa)
Total Allocated Leave(s),Total de licenças alocadas
Total Allocated Leaves,Total de folhas alocadas
Total Amount Reimbursed,Valor total reembolsado
Total Amount cannot be zero,O valor total não pode ser zero
Total Asset Recovery Cost,Custo total de recuperação de ativos
Total Billed Hours,Total de horas faturadas
Total Claimed Amount,Valor total reivindicado
Total Claimed Amount (Company Currency),Valor total reivindicado (moeda da empresa)
Total Days Without Pay,Total de dias sem remuneração
Total Declared Amount,Valor Total Declarado
Total Deduction,Dedução Total
Total Deduction (Company Currency),Dedução total (moeda da empresa)
Total Early Exits,Total de saídas antecipadas
Total Earning,Ganhos totais
Total Earnings,Ganhos totais
Total Estimated Budget,Orçamento Total Estimado
Total Estimated Cost,Custo Total Estimado
Total Exchange Gain/Loss,Ganho/perda cambial total
Total Exemption Amount,Valor total da isenção
Total Expense Claim (via Expense Claim),Declaração de despesas totais (via declaração de despesas)
Total Expense Claim (via Expense Claims),Declaração de despesas totais (por meio de declarações de despesas)
Total Goal Score,Pontuação total de gols
Total Gross Pay,Salário Bruto Total
Total Holidays,Total de feriados
Total Hours (T),Total de horas (T)
Total Income Tax,Imposto de Renda Total
Total Interest Amount,Valor total dos juros
Total Late Entries,Total de entradas atrasadas
Total Leave Days,Total de dias de licença
Total Leaves,Total de folhas
Total Leaves ({0}),Total de folhas ({0})
Total Leaves Allocated,Total de folhas alocadas
Total Leaves Encashed,Total de Folhas Encaixadas
Total Loan Repayment,Reembolso total do empréstimo
Total Net Pay,Salário Líquido Total
Total Non-Billed Hours,Total de horas não faturadas
Total Overtime Duration,Duração total das horas extras
Total Payable Amount,Valor total a pagar
Total Payment,Pagamento total
Total Payout,Pagamento total
Total Present,Presente total
Total Principal Amount,Valor total do principal
Total Receivable Amount,Valor total a receber
Total Resignations,Total de Demissões
Total Sanctioned Amount,Valor total sancionado
Total Sanctioned Amount (Company Currency),Valor total sancionado (moeda da empresa)
Total Score,Pontuação total
Total Self Score,Autopontuação total
Total Taxes and Charges,Total de Impostos e Encargos
Total Taxes and Charges (Company Currency),Total de Impostos e Encargos (Moeda da Empresa)
Total Working Hours,Total de horas de trabalho
Total advance amount cannot be greater than total sanctioned amount,O valor total do adiantamento não pode ser maior que o valor total sancionado
Total allocated leaves are more than maximum allocation allowed for {0} leave type for employee {1} in the period,O total de licenças alocadas é superior à alocação máxima permitida para {0} tipo de licença para o funcionário {1} no período
Total allocated leaves {0} cannot be less than already approved leaves {1} for the period,O total de licenças alocadas {0} não pode ser inferior às licenças já aprovadas {1} para o período
Total in words,Total em palavras
Total in words (Company Currency),Total por extenso (moeda da empresa)
Total leaves allocated cannot exceed annual allocation of {0}.,O total de licenças alocadas não pode exceder a alocação anual de {0}.
Total leaves allocated is mandatory for Leave Type {0},O total de licenças alocadas é obrigatório para o tipo de licença {0}
Total of all employee benefits cannot be greater that Max Benefits Amount {0},O total de todos os benefícios dos funcionários não pode ser maior que o Valor Máximo de Benefícios {0}
Total percentage against cost centers should be 100,A porcentagem total em relação aos centros de custo deve ser 100
Total salary booked against this component for this employee from the beginning of the year (payroll period or fiscal year) up to the current salary slip's end date.,Salário total contabilizado neste componente para este empregado desde o início do ano (período processado na folha de pagamento ou ano fiscal) até a data de término do comprovante de salário atual.
Total salary booked for this employee from the beginning of the month up to the current salary slip's end date.,Salário total contabilizado para este funcionário desde o início do mês até a data de término do comprovante de salário atual.
Total salary booked for this employee from the beginning of the year (payroll period or fiscal year) up to the current salary slip's end date.,Salário total contabilizado para este funcionário desde o início do ano (período processado na folha de pagamento ou exercício fiscal) até a data de término do comprovante de salário atual.
"Total weightage for all {0} must add up to 100. Currently, it is {1}%","A ponderação total de todos os {0} deve somar 100. Atualmente, é de {1}%"
Total working Days Per Year,Total de dias úteis por ano
Total working hours should not be greater than max working hours {0},O total de horas de trabalho não deve ser superior ao número máximo de horas de trabalho {0}
Totals,Totais
Train,Trem
Trainer Email,E-mail do instrutor
Trainer Name,Nome do treinador
Training,Treinamento
Training Date,Data do treinamento
Training Event,Evento de treinamento
Training Event Employee,Funcionário do Evento de Treinamento
Training Event:,Evento de treinamento:
Training Events,Eventos de treinamento
Training Feedback,Feedback do treinamento
Training Program,Programa de treinamento
Training Result,Resultado do treinamento
Training Result Employee,Funcionário do resultado do treinamento
Trainings,Treinamentos
Transaction Name,Nome da transação
Transaction Type,Tipo de transação
Transactions cannot be created for an Inactive Employee {0}.,As transações não podem ser criadas para um funcionário inativo {0}.
Transfer Date,Data de transferência
Travel,Viagem
Travel Advance Required,É necessário adiantamento de viagem
Travel From,Viajar de
Travel Funding,Financiamento de viagens
Travel Itinerary,Itinerário de viagem
Travel Request,Solicitação de viagem
Travel Request Costing,Custo de solicitação de viagem
Travel To,Viajar para
Travel Type,Tipo de viagem
Type of Proof,Tipo de Prova
Unable to retrieve your location,Não foi possível recuperar sua localização
Unarchive,Desarquivar
Unclaimed Amount,Valor não reclamado
Unclaimed Amount (Company Currency),Valor não reclamado (moeda da empresa)
Under Review,Em revisão
Unlinked Attendance record from Employee Checkins: {},Registro de presença desvinculado de check-ins de funcionários: {}
Unlinked logs,Registros desvinculados
Unmarked Attendance for days,Presença não marcada por dias
Unmarked Check-in Logs Found,Registros de check-in não marcados encontrados
Unmarked Days,Dias não marcados
Unmarked Employee Header,Cabeçalho de funcionário não marcado
Unmarked Employees HTML,HTML de funcionários não marcados
Unmarked days,Dias não marcados
Unpaid Accrual,Acumulação não paga
Unpaid Expense Claim,Reivindicação de despesas não pagas
Unsettled,Inquieto
Unsettled Transactions,Transações não liquidadas
Unsubmitted Appraisals,Avaliações não enviadas
Untracked Hours,Horas não rastreadas
Untracked Hours (U),Horas não rastreadas (U)
Unused leaves,Folhas não utilizadas
Upcoming Holidays Reminder,Lembrete dos próximos feriados
Upcoming Shifts,Próximos turnos
Update,Atualizar
Update Job Applicant,Atualizar candidato a emprego
Update Progress,Progresso da atualização
Update Response,Atualizar resposta
Update Salary Structures,Atualizar estruturas salariais
Update Status,Atualizar status
Updated status from {0} to {1} for date {2} in the attendance record {3},Status atualizado de {0} para {1} para a data {2} no registro de presença {3}
Updated the Job Applicant status to {0},Atualizado o status do candidato a emprego para {0}
Updated the status of Job Offer {0} for the linked Job Applicant {1} to {2},Atualizado o status da oferta de emprego {0} do candidato a emprego vinculado {1} para {2}
Updated the status of linked Job Applicant {0} to {1},Atualizado o status do candidato a emprego vinculado {0} para {1}
Upload Attendance,Carregar presença
Upload HTML,Carregar HTML
Upload images or documents,Carregar imagens ou documentos
Upper Range,Faixa superior
Used Leave(s),Licença(s) Usada(s)
Used Leaves,Folhas Usadas
User,Usuário
Users,Usuários
Utilization,Utilização
Vacancies,Vagas
Vacancies cannot be lower than the current openings,As vagas não podem ser inferiores às vagas atuais
Vacancies fulfilled,Vagas preenchidas
Validate Attendance,Validar presença
Validating Employee Attendance...,Validando a presença do funcionário...
Value / Description,Valor/Descrição
Value missing,Valor ausente
Variable,Variável
Variable Based On Taxable Salary,Variável baseada no salário tributável
Vegetarian,Vegetariano
Vehicle Expenses,Despesas com veículos
Vehicle Log,Registro do veículo
Vehicle Service,Serviço de veículos
Vehicle Service Item,Item de serviço do veículo
View,Visualizar
View Exchange Gain/Loss Journals,Ver diários de ganhos/perdas cambiais
View Goals,Ver metas
View Job Offer,Ver oferta de emprego
View List,Ver lista
Violet,Violeta
WARNING: Loan Management module has been separated from ERPNext.,AVISO: O módulo de Gestão de Empréstimos foi separado do ERPNext.
Walk In,Entre
Warning,Aviso
Warning: Insufficient leave balance for Leave Type {0} in this allocation.,Aviso: Saldo de licenças insuficiente para o Tipo de Licença {0} nesta alocação.
Warning: Insufficient leave balance for Leave Type {0}.,Aviso: Saldo de licenças insuficiente para o tipo de licença {0}.
Warning: Leave application contains following block dates,Aviso: o pedido de licença contém as seguintes datas de bloqueio
Warning: {0} already has an active Shift Assignment {1} for some/all of these dates.,Aviso: {0} já tem uma Atribuição de Turno ativa {1} para algumas/todas essas datas.
Website Listing,Listagem de sites
Wednesday,Quarta-feira
Weekend Multiplier,Multiplicador de fim de semana
Weekly,Semanalmente
Weightage (%),Ponderação (%)
"When set to 'Inactive', employees with conflicting active shifts will not be excluded.","Quando definido como 'Inativo', os funcionários com turnos ativos conflitantes não serão excluídos."
Whereas allocation for Compensatory Leaves is automatically created or updated on submission of Compensatory Leave Request.,Já a alocação para Licenças Compensatórias é criada ou atualizada automaticamente no momento do envio da Solicitação de Licença Compensatória.
Why is this Candidate Qualified for this Position?,Por que este candidato está qualificado para esta posição?
Withheld,Retido
Work Anniversaries ,Aniversários de trabalho
Work Anniversary Reminder,Lembrete de aniversário de trabalho
Work End Date,Data de término do trabalho
Work Experience Calculation Method,Método de cálculo de experiência profissional
Work From Date,Trabalhar a partir da data
Work From Home,Trabalhe em casa
Work References,Referências de trabalho
Work Summary for {0},Resumo do trabalho para {0}
Worked On Holiday,Trabalhei nas férias
Working Days,Dias úteis
Working Days and Hours,Dias e Horários de Trabalho
Working Hours Calculation Based On,Cálculo da jornada de trabalho com base em
Working Hours Threshold for Absent,Limite de horário de trabalho para ausência
Working Hours Threshold for Half Day,Limite de jornada de trabalho para meio dia
Working hours below which Absent is marked. (Zero to disable),Horário de trabalho abaixo do qual está marcado Ausente. (Zero para desativar)
Working hours below which Half Day is marked. (Zero to disable),Horário de trabalho abaixo do qual está marcado Meio Dia. (Zero para desativar)
Workshop,Oficina
Year To Date,No acumulado do ano
Year To Date(Company Currency),Acumulado no Ano (Moeda da Empresa)
Yearly,Anual
Yearly Amount,Valor Anual
Yearly Benefit,Benefício Anual
Yellow,Amarelo
"Yes, Proceed","Sim, prosseguir"
You are not authorized to approve leaves on Block Dates,Você não está autorizado a aprovar licenças em datas de bloqueio
You are not present all day(s) between compensatory leave request days,Você não está presente todos os dias entre os dias de solicitação de licença compensatória
You can not define multiple slabs if you have a slab with no lower and upper limits.,Não é possível definir múltiplas lajes se tiver uma laje sem limites inferior e superior.
You can not request for your Default Shift: {0},Você não pode solicitar seu turno padrão: {0}
You can only plan for upto {0} vacancies and budget {1} for {2} as per staffing plan {3} for parent company {4}.,Você só pode planejar até {0} vagas e orçar {1} para {2} de acordo com o plano de pessoal {3} da controladora {4}.
You can only submit Leave Encashment for a valid encashment amount,Você só pode enviar Reembolso de Licença para um valor de reembolso válido
"You can only upload JPG, PNG, PDF, TXT or Microsoft documents.","Você só pode fazer upload de documentos JPG, PNG, PDF, TXT ou Microsoft."
You cannot reverse more than the total LWP days {0}. You have already reversed {1} days for this employee.,Você não pode reverter mais do que o total de dias de LWP {0}. Você já reverteu {1} dias para este funcionário.
You do not have permission to complete this action,Você não tem permissão para concluir esta ação
You have no upcoming shifts,Você não tem turnos futuros
"You may add additional details, if any, and submit the offer.","Você pode adicionar detalhes adicionais, se houver, e enviar a oferta."
You must be within {0} meters of your shift location to check in.,Você deve estar a até {0} metros do local do seu turno para fazer o check-in.
You were only present for Half Day on {}. Cannot apply for a full day compensatory leave,Você esteve presente apenas durante meio dia em {}. Não é possível solicitar licença compensatória de dia inteiro
Your Interview session is rescheduled from {0} {1} - {2} to {3} {4} - {5},Sua sessão de entrevista foi remarcada de {0} {1} - {2} para {3} {4} - {5}
action,Ação
active,ativo
based on,baseado em
create/submit,criar/enviar
created,criado
email,e-mail
goal,meta
goals,metas
here,aqui
modify_half_day_status,modificar_meio_dia_status
or for the Employee's Department: {0},ou para o Departamento de Funcionários: {0}
process,processo
processed,processado
reason,razão
result,resultado
results,resultados
review,análise
reviews,comentários
router-link,link do roteador
via Salary Component sync,via sincronização do componente salarial
years,anos
{0} & {1},{0} e {1}
{0} : {1},{0}: {1}
{0} <br> This error can be due to missing or deleted field.,{0} <br> Este erro pode ocorrer devido a um campo ausente ou excluído.
{0} Appraisal(s) are not submitted yet,{0} As avaliações ainda não foram enviadas
{0} Field,{0} Campo
{0} Missing,{0} Ausente
{0} Row #{1}: Formula is set but {2} is disabled for the Salary Component {3}.,"{0} Linha #{1}: A fórmula está definida, mas {2} está desabilitada para o Componente Salarial {3}."
{0} Row #{1}: {2} needs to be enabled for the formula to be considered.,{0} Linha #{1}: {2} precisa estar ativado para que a fórmula seja considerada.
{0} already allocated for Employee {1} for period {2} to {3},{0} já alocado para o Funcionário {1} para o período {2} a {3}
{0} already exists for employee {1} and period {2},{0} já existe para o funcionário {1} e período {2}
{0} already has an active Shift Assignment {1} for some/all of these dates.,{0} já tem uma atribuição de turno ativa {1} para algumas/todas essas datas.
{0} applicable after {1} working days,{0} aplicável após {1} dias úteis
{0} completed {1} {2},{0} concluído {1} {2}
{0} has {1} enabled,{0} tem {1} ativado
{0} is an Accrual Component and this will be recorded as a payout in Employee Benefits Ledger,{0} é um componente de acumulação e será registrado como um pagamento no livro de benefícios de funcionários
{0} is an invalid Attendance Status.,{0} é um status de participação inválido.
{0} is not a holiday.,{0} não é feriado.
{0} is not allowed to submit Interview Feedback for the Interview: {1},{0} não tem permissão para enviar feedback da entrevista: {1}
{0} is not in Optional Holiday List,{0} não está na lista de feriados opcionais
{0} leaves allocated successfully,{0} folhas alocadas com sucesso
{0} leaves from allocation for {1} leave type have expired and will be processed during the next scheduled job. It is recommended to expire them now before creating new leave policy assignments.,{0} licenças da alocação para o tipo de licença {1} expiraram e serão processadas durante o próximo trabalho agendado. Recomenda-se expirá-los agora antes de criar novas atribuições de política de licenças.
{0} leaves were manually allocated by {1} on {2},{0} licenças foram alocadas manualmente por {1} em {2}
{0} must be submitted,{0} deve ser enviado
{0} of {1} Completed,{0} de {1} concluído
{0} to {1} employee(s)?,{0} a {1} funcionário(s)?
{0} vacancies and {1} budget for {2} already planned for subsidiary companies of {3}. You can only plan for upto {4} vacancies and and budget {5} as per staffing plan {6} for parent company {3}.,{0} vagas e {1} orçamento para {2} já previstos para empresas subsidiárias de {3}. Você só pode planejar até {4} vagas e orçar {5} de acordo com o plano de pessoal {6} da controladora {3}.
{0} will be updated for the following Salary Structures: {1}.,{0} será atualizado para as seguintes Estruturas Salariais: {1}.
{0} {1} {2}?,{0} {1} {2}?
{0}. Check error log for more details.,{0}. Verifique o log de erros para obter mais detalhes.
"{0}: Employee email not found, hence email not sent","{0}: e-mail do funcionário não encontrado, portanto o e-mail não foi enviado"
{0}: From {0} of type {1},{0}: de {0} do tipo {1}
{0}: {1},{0}: {1}
{0}d,{0}d
{} {} open for this position.,{} {} aberto para esta posição.
